,binding E,GCN,CN1,CN2,ratio surface,GCN mean,CN1 mean,CN2 mean
0,-1.606183333333334,1.9166666666666667,5.0,1.0,0.9090909090909091,3.6287878787878785,5.090909090909091,1.2727272727272727
1,-1.4190733333333332,3.8333333333333335,4.0,1.0,0.9090909090909091,3.2045454545454546,4.7272727272727275,1.2727272727272727
2,-1.606183333333334,3.0,5.0,1.0,0.9090909090909091,3.3863636363636362,4.7272727272727275,1.0909090909090908
3,-1.606183333333334,3.5833333333333335,9.0,1.0,1.0,3.356060606060606,4.909090909090909,1.0909090909090908
4,-1.4190733333333332,4.0,4.0,1.0,1.0,2.840909090909091,4.545454545454546,0.9090909090909091
5,-1.4190733333333332,3.6666666666666665,4.0,1.0,,,,
6,-1.4190733333333332,4.0,4.0,1.0,,,,
7,-1.6626199999999995,3.6666666666666665,4.0,1.0,,,,
8,-1.8279999999999998,3.8333333333333335,6.0,2.0,,,,
9,-1.8279999999999998,4.166666666666667,6.0,2.0,,,,
10,-1.8279999999999998,4.25,5.0,2.0,,,,
11,-1.606183333333334,1.9166666666666667,5.0,1.0,,,,
12,-1.4288733333333332,3.5,4.0,2.0,,,,
13,-1.4190733333333332,3.0833333333333335,4.0,1.0,,,,
14,-1.7827166666666674,3.5833333333333335,9.0,0.0,,,,
15,-1.4190733333333332,3.8333333333333335,4.0,1.0,,,,
16,-1.4190733333333332,3.5,4.0,1.0,,,,
17,-1.4190733333333332,3.8333333333333335,4.0,1.0,,,,
18,-1.6870200000000002,1.5,2.0,1.0,,,,
19,-1.8279999999999998,3.0833333333333335,6.0,2.0,,,,
20,-1.8279999999999998,3.5,5.0,2.0,,,,
21,-1.8279999999999998,3.9166666666666665,5.0,2.0,,,,
22,-1.8312385714285717,1.8333333333333333,2.0,0.0,,,,
23,-1.606183333333334,2.4166666666666665,5.0,1.0,,,,
24,-1.4190733333333332,3.5833333333333335,4.0,1.0,,,,
25,-1.606183333333334,2.9166666666666665,5.0,1.0,,,,
26,-1.7827166666666674,3.5833333333333335,9.0,0.0,,,,
27,-1.4190733333333332,3.8333333333333335,4.0,1.0,,,,
28,-1.4190733333333332,3.6666666666666665,4.0,1.0,,,,
29,-1.4190733333333332,3.8333333333333335,4.0,1.0,,,,
30,-1.8279999999999998,3.9166666666666665,5.0,2.0,,,,
31,-1.8279999999999998,3.9166666666666665,5.0,2.0,,,,
32,-1.8279999999999998,3.75,5.0,2.0,,,,
33,-1.5880119047619052,3.25,3.0,0.0,,,,
34,-1.606183333333334,2.6666666666666665,6.0,1.0,,,,
35,-1.4015352380952382,2.8333333333333335,3.0,1.0,,,,
36,-1.606183333333334,2.9166666666666665,6.0,1.0,,,,
37,-1.606183333333334,3.4166666666666665,8.0,1.0,,,,
38,-1.4190733333333332,3.5,4.0,1.0,,,,
39,-1.4015352380952382,3.25,3.0,1.0,,,,
40,-1.8067999999999995,3.8333333333333335,5.0,1.0,,,,
41,-1.8067999999999995,3.5833333333333335,6.0,1.0,,,,
42,-1.8279999999999998,4.0,6.0,2.0,,,,
43,-1.6890199999999995,3.6666666666666665,4.0,2.0,,,,
44,-1.6076166666666665,3.1666666666666665,4.0,0.0,,,,
45,-1.610383333333334,2.8333333333333335,6.0,2.0,,,,
46,-1.5880119047619052,2.5833333333333335,3.0,0.0,,,,
47,-1.606183333333334,2.9166666666666665,6.0,1.0,,,,
48,-1.606183333333334,2.9166666666666665,7.0,1.0,,,,
49,-1.6076166666666665,3.0,4.0,0.0,,,,
50,-1.6337619047619052,2.5833333333333335,2.0,1.0,,,,
51,-1.6870200000000002,1.5,2.0,1.0,,,,
52,-1.8067999999999995,3.5,6.0,1.0,,,,
53,-1.8067999999999995,3.0833333333333335,5.0,1.0,,,,
54,-1.8279999999999998,3.1666666666666665,5.0,2.0,,,,
