,binding E,GCN,CN1,CN2,ratio surface,GCN mean,CN1 mean,CN2 mean
0,-1.6339933333333332,4.25,3.0,0.0,0.88,4.033333333333333,5.84,1.6
1,-1.46875,2.6666666666666665,3.0,1.0,0.92,4.076666666666666,5.68,1.52
2,-1.6287500000000004,2.6666666666666665,5.0,1.0,0.88,3.8633333333333333,5.68,1.52
3,-1.4743500000000003,4.0,4.0,1.0,0.92,4.51,5.68,1.44
4,-1.4743500000000003,4.916666666666667,4.0,1.0,0.88,3.773333333333333,5.6,1.52
5,-1.6287500000000004,4.166666666666667,8.0,1.0,0.92,4.223333333333333,5.6,1.44
6,-1.6287500000000004,3.6666666666666665,9.0,1.0,0.92,4.543333333333333,5.6,1.36
7,-1.4743500000000003,3.5,4.0,1.0,0.92,3.6899999999999995,5.44,1.44
8,-1.46875,5.333333333333333,3.0,1.0,0.92,3.816666666666667,5.52,1.44
9,-1.6287500000000004,5.5,8.0,1.0,0.96,4.22,5.44,1.36
10,-1.6329500000000003,4.666666666666667,9.0,2.0,0.92,3.7766666666666664,5.44,1.36
11,-1.6329500000000003,4.916666666666667,5.0,2.0,0.96,4.263333333333333,5.52,1.28
12,-1.6287500000000004,6.0,7.0,1.0,0.96,4.043333333333333,5.44,1.2
13,-1.6329500000000003,5.5,9.0,2.0,0.96,4.256666666666667,5.44,1.2
14,-1.6329500000000003,3.6666666666666665,5.0,2.0,1.0,4.14,5.28,1.28
15,-1.6287500000000004,4.333333333333333,6.0,1.0,0.96,4.09,5.36,1.28
16,-1.4743500000000003,3.6666666666666665,4.0,1.0,1.0,4.09,5.28,1.2
17,-1.8209999999999997,2.6666666666666665,6.0,3.0,0.96,3.8799999999999994,5.36,1.2
18,-1.8209999999999997,3.6666666666666665,5.0,2.0,0.96,3.7400000000000007,5.2,1.12
19,-1.8209999999999997,2.0,7.0,3.0,0.96,4.203333333333333,5.36,1.28
20,-1.8209999999999997,2.1666666666666665,7.0,3.0,1.0,3.913333333333333,5.2,1.12
21,-1.8209999999999997,5.916666666666667,7.0,3.0,1.0,3.766666666666666,5.2,1.12
22,-1.8209999999999997,2.5,7.0,3.0,1.0,3.833333333333334,5.2,1.12
23,-1.8017999999999994,4.416666666666667,5.0,1.0,1.0,3.94,5.28,1.2
24,-1.8209999999999997,4.083333333333333,6.0,2.0,1.0,3.6566666666666667,5.12,1.04
25,-1.6339933333333332,4.25,3.0,0.0,1.0,3.8533333333333335,5.12,1.2
26,-1.4743500000000003,3.1666666666666665,4.0,1.0,0.96,3.62,5.12,1.2
27,-1.6329500000000003,2.8333333333333335,5.0,2.0,1.0,3.6833333333333336,5.04,1.12
28,-1.4743500000000003,3.8333333333333335,4.0,1.0,1.0,3.77,5.12,1.12
29,-1.6287500000000004,4.916666666666667,5.0,1.0,1.0,3.763333333333333,5.04,1.04
30,-1.77835,4.666666666666667,9.0,0.0,0.96,3.9266666666666667,5.04,1.2
31,-1.6287500000000004,3.75,8.0,1.0,1.0,3.4933333333333336,4.88,1.12
32,-1.6330599999999997,2.8333333333333335,4.0,0.0,0.96,3.6133333333333337,4.88,1.2
