,generation no.,mean,sd,min_val,max_val
0,0,-8.0264045637967,1.0054896099173782,-9.543054888289848,-6.7240252126427125
0,1,-16.76134155093933,1.8097356210940105,-18.59082290764676,-13.536651016225434
0,2,-18.54671635049622,1.105485592057861,-20.052528257536252,-16.6612147069459
0,3,-19.37538229527987,0.5059499531951756,-20.052528257536252,-18.59082290764676
0,4,-19.931353821187884,0.37179543290842226,-20.58353524838921,-19.5194927359751
0,5,-20.688094578191844,0.4614149983185123,-21.372915424757736,-20.052528257536252
0,6,-21.26389041106334,0.45877662893260523,-22.014090284862995,-20.61997072817882
0,7,-21.442487103507993,0.32872368082795034,-22.014090284862995,-21.015023523996604
0,8,-22.04544210426728,0.314766842125202,-22.6331113628434,-21.749076004042806
0,9,-22.367232685564183,0.4175056629136195,-23.065610140720494,-22.014090284862995
0,10,-23.093236295988635,0.3512867224947809,-23.691765699808542,-22.6331113628434
0,11,-23.390916544071594,0.2549888111368372,-23.691765699808542,-23.065610140720494
0,12,-23.815771977465396,0.16694885591432576,-24.116963481289268,-23.67657863306026
0,13,-23.88867414120177,0.1698111610913977,-24.116963481289268,-23.691765699808542
0,14,-24.024680220621367,0.22195710114916364,-24.371796096906557,-23.715630349961792
0,15,-24.084930854457532,0.16292516402548066,-24.371796096906557,-23.87792172320711
0,16,-24.245631161096505,0.18084137600099767,-24.53323766170314,-24.041089451742117
0,17,-24.245631161096505,0.18084137600099767,-24.53323766170314,-24.041089451742117
0,18,-24.357039814618194,0.14961825292716202,-24.53323766170314,-24.165069113841426
0,19,-24.357039814618194,0.14961825292716202,-24.53323766170314,-24.165069113841426
0,20,-24.363783989286595,0.14134422274115094,-24.53323766170314,-24.19878998718343
0,21,-24.399721996387967,0.1152616132172317,-24.53323766170314,-24.209542336589067
0,22,-24.462163842071288,0.07162986745945142,-24.53323766170314,-24.371796096906557
0,23,-24.462163842071288,0.07162986745945142,-24.53323766170314,-24.371796096906557
0,24,-24.49856592002731,0.06206557517603078,-24.55380648668669,-24.378480022690297
0,25,-24.49856592002731,0.06206557517603078,-24.55380648668669,-24.378480022690297
0,26,-24.53300020482515,0.018024192682966785,-24.55380648668669,-24.505553864050768
