,generation no.,mean,sd,min_val,max_val
0,0,-2.495080873273454,0.9585549431988934,-3.801051451013262,-0.9820217753661247
0,1,-6.220318082102457,2.4109828696599935,-8.67250081095858,-2.8793310253933213
0,2,-9.203739689402841,1.0210064291957093,-10.858898132193524,-8.174772783532534
0,3,-9.80048061770135,0.8043286471724108,-10.923469302878205,-8.67250081095858
0,4,-10.086436924025513,0.5404564602324903,-10.923469302878205,-9.505857978902005
0,5,-10.360095792676542,0.5247811712148812,-10.964950016439076,-9.59989711487305
0,6,-10.684402890376104,0.6385730266355399,-11.530712851675212,-9.59989711487305
0,7,-10.954023162461771,0.7623157807211299,-11.682498151707962,-9.59989711487305
0,8,-11.311057356703273,0.4350750315614586,-11.961946804180426,-10.83267160859628
0,9,-11.60825948992397,0.5647305782694734,-12.251456799078328,-10.83267160859628
0,10,-11.656406839910325,0.5286666914027808,-12.251456799078328,-10.83267160859628
0,11,-11.729621945607542,0.5050429251514363,-12.251456799078328,-10.83267160859628
0,12,-11.73992301915668,0.5144034179664196,-12.251456799078328,-10.83267160859628
0,13,-11.746593449617858,0.5208098854414678,-12.257058176579909,-10.83267160859628
0,14,-11.746593449617858,0.5208098854414678,-12.257058176579909,-10.83267160859628
0,15,-11.746593449617858,0.5208098854414678,-12.257058176579909,-10.83267160859628
0,16,-11.763707390755195,0.5382331167706911,-12.337026504765005,-10.83267160859628
0,17,-11.763707390755195,0.5382331167706911,-12.337026504765005,-10.83267160859628
0,18,-11.765093649292654,0.538100065911839,-12.337026504765005,-10.83267160859628
0,19,-11.958515104221359,0.63413575529729,-12.474624099131718,-10.83267160859628
0,20,-11.958515104221359,0.63413575529729,-12.474624099131718,-10.83267160859628
0,21,-11.958515104221359,0.63413575529729,-12.474624099131718,-10.83267160859628
0,22,-11.958515104221359,0.63413575529729,-12.474624099131718,-10.83267160859628
0,23,-12.040345910747822,0.6406371760571059,-12.584832035602856,-10.83267160859628
0,24,-12.040345910747822,0.6406371760571059,-12.584832035602856,-10.83267160859628
0,25,-12.040345910747822,0.6406371760571059,-12.584832035602856,-10.83267160859628
0,26,-12.040345910747822,0.6406371760571059,-12.584832035602856,-10.83267160859628
0,27,-12.040345910747822,0.6406371760571059,-12.584832035602856,-10.83267160859628
0,28,-12.058877134620332,0.6390823880771415,-12.584832035602856,-10.83267160859628
0,29,-12.058877134620332,0.6390823880771415,-12.584832035602856,-10.83267160859628
0,30,-12.058877134620332,0.6390823880771415,-12.584832035602856,-10.83267160859628
