,binding E,GCN,CN1,CN2,ratio surface,GCN mean,CN1 mean,CN2 mean
0,-1.46875,3.25,3.0,1.0,0.9047619047619048,5.761904761904762,5.714285714285714,1.5238095238095237
1,-1.4743500000000003,5.0,4.0,1.0,0.9047619047619048,5.587301587301587,5.523809523809524,1.5238095238095237
2,-1.46875,4.666666666666667,3.0,1.0,0.9047619047619048,5.702380952380953,5.619047619047619,1.619047619047619
3,-1.6330599999999997,3.9166666666666665,4.0,0.0,0.8571428571428571,5.742063492063492,5.714285714285714,1.619047619047619
4,-1.6287500000000004,6.416666666666667,8.0,1.0,0.9047619047619048,5.476190476190477,5.523809523809524,1.4285714285714286
5,-1.6287500000000004,6.75,8.0,1.0,,,,
6,-1.6287500000000004,5.583333333333333,6.0,1.0,,,,
7,-1.6287500000000004,6.166666666666667,6.0,1.0,,,,
8,-1.6329500000000003,7.666666666666667,9.0,2.0,,,,
9,-1.6329500000000003,6.333333333333333,9.0,2.0,,,,
10,-1.6287500000000004,5.666666666666667,5.0,1.0,,,,
11,-1.4743500000000003,5.75,4.0,1.0,,,,
12,-1.6329500000000003,5.916666666666667,5.0,2.0,,,,
13,-1.4743500000000003,5.416666666666667,4.0,1.0,,,,
14,-1.8209999999999997,6.083333333333333,5.0,2.0,,,,
15,-1.8209999999999997,6.333333333333333,7.0,3.0,,,,
16,-1.8209999999999997,6.583333333333333,7.0,3.0,,,,
17,-1.8209999999999997,5.666666666666667,6.0,2.0,,,,
18,-1.8209999999999997,6.666666666666667,7.0,3.0,,,,
19,-1.8209999999999997,6.416666666666667,6.0,2.0,,,,
20,-1.6684699999999995,4.75,4.0,1.0,,,,
21,-1.46875,3.25,3.0,1.0,,,,
22,-1.4743500000000003,4.833333333333333,4.0,1.0,,,,
23,-1.46875,4.166666666666667,3.0,1.0,,,,
24,-1.6330599999999997,4.0,4.0,0.0,,,,
25,-1.6287500000000004,6.333333333333333,8.0,1.0,,,,
26,-1.6287500000000004,6.25,8.0,1.0,,,,
27,-1.6287500000000004,5.5,5.0,1.0,,,,
28,-1.6287500000000004,6.5,6.0,1.0,,,,
29,-1.6329500000000003,7.75,9.0,2.0,,,,
30,-1.6287500000000004,5.916666666666667,9.0,1.0,,,,
31,-1.4743500000000003,5.166666666666667,4.0,1.0,,,,
32,-1.4743500000000003,6.083333333333333,4.0,1.0,,,,
33,-1.6329500000000003,5.916666666666667,5.0,2.0,,,,
34,-1.4743500000000003,4.833333333333333,4.0,1.0,,,,
35,-1.8209999999999997,6.333333333333333,5.0,2.0,,,,
