,generation no.,mean,sd,min_val,max_val
0,0,-1.4071708877709148,0.7003492566210486,-2.620969422948729,-0.7416163058506371
0,1,-3.536119427952672,2.583323982712274,-7.013009678149157,-0.7476016834936722
0,2,-4.300210566215256,2.9390031296826877,-7.062009191172452,-0.2927268483267371
0,3,-4.632141700479795,2.796316694750613,-7.086922213637037,-1.2084618963036424
0,4,-6.903475761951666,1.0348129647074098,-8.02588723801685,-5.09316059907808
0,5,-6.903475761951666,1.0348129647074098,-8.02588723801685,-5.09316059907808
0,6,-6.6569040178199685,1.1295230513632906,-8.084463474504075,-5.09316059907808
0,7,-6.666568578816587,1.1290549891526913,-8.084463474504075,-5.09316059907808
0,8,-6.724986551668801,1.0893310776159368,-8.084463474504075,-5.09316059907808
0,9,-6.725638584135607,1.0513431813251692,-7.92746601890112,-5.09316059907808
0,10,-7.620597246328619,0.3009981366440904,-7.92746601890112,-7.253842647548219
0,11,-7.67848638522897,0.3413214281800286,-8.017971903831993,-7.253842647548219
0,12,-7.69155012667275,0.3264138475663429,-8.017971903831993,-7.253842647548219
0,13,-7.84194960528063,0.30047237520242553,-8.088684706112694,-7.253842647548219
0,14,-7.942750704489974,0.11119100270640007,-8.088684706112694,-7.757848143594945
0,15,-8.016471796476647,0.21255573417028487,-8.386503979414519,-7.757848143594945
0,16,-8.016471796476647,0.21255573417028487,-8.386503979414519,-7.757848143594945
0,17,-8.016471796476647,0.21255573417028487,-8.386503979414519,-7.757848143594945
0,18,-8.016471796476647,0.21255573417028487,-8.386503979414519,-7.757848143594945
0,19,-8.095663578427446,0.28583672162740215,-8.484643615866688,-7.757848143594945
0,20,-8.314958610641359,0.33594372900411784,-8.769093654543925,-7.9217827500091165
0,21,-8.353224624672098,0.2984382058733674,-8.769093654543925,-7.9217827500091165
0,22,-8.353224624672098,0.2984382058733674,-8.769093654543925,-7.9217827500091165
0,23,-8.353224624672098,0.2984382058733674,-8.769093654543925,-7.9217827500091165
0,24,-8.353224624672098,0.2984382058733674,-8.769093654543925,-7.9217827500091165
0,25,-8.363220132610987,0.30304144739394223,-8.769093654543925,-7.9217827500091165
0,26,-8.412839357784604,0.3767766556191286,-9.017189780412012,-7.9217827500091165
