,generation no.,mean,sd,min_val,max_val
0,0,-4.866417847371832,1.5217217063784851,-6.92652382300809,-2.258067918478037
0,1,-12.185242700293777,1.0424572905358294,-13.486230780519953,-10.813141535647802
0,2,-13.683942973001962,0.593621400703881,-14.85890559072593,-13.294633066182085
0,3,-14.273536343467436,0.5508585616704964,-14.85890559072593,-13.50681383976824
0,4,-14.962371726194457,0.19336282523558582,-15.343533241319841,-14.838834265718914
0,5,-15.154231417887624,0.2105546006701364,-15.343533241319841,-14.866750717180098
0,6,-15.2532868399369,0.14947276741483803,-15.343533241319841,-14.955299021357186
0,7,-15.436470556465059,0.21770202577795306,-15.871217603997982,-15.308068602231856
0,8,-16.20321256943169,0.44986681153923747,-17.01071415722012,-15.783732753800168
0,9,-17.026454523729484,1.0078112689325893,-18.9740645979616,-16.248938834409323
0,10,-17.49437148371729,1.0788156117638472,-18.9740645979616,-16.36505233566463
0,11,-18.37374207393857,0.7770729196030833,-19.19758488428201,-17.01071415722012
0,12,-18.773972182812443,0.3918280995086002,-19.19758488428201,-18.097823095880784
0,13,-19.00594521118495,0.16321771076647246,-19.19758488428201,-18.72099428824047
0,14,-19.075418407546515,0.07970707818227916,-19.19758488428201,-18.9740645979616
0,15,-19.306193615422963,0.3002934497491401,-19.89446619852248,-19.068360270048302
0,16,-19.66078564475827,0.585851784622827,-20.713516084536764,-19.199052505024362
0,17,-19.867866808721423,0.5687884276127346,-20.713516084536764,-19.24533914041085
0,18,-20.2995902776777,0.729068776596642,-21.403956485192232,-19.251554295296913
0,19,-20.569097102344216,0.5071205928376797,-21.403956485192232,-19.89446619852248
0,20,-20.88341777214196,0.4777660038318376,-21.466069547511218,-20.234458324840112
0,21,-21.130058616958,0.35200589626136847,-21.466069547511218,-20.68738817942743
0,22,-21.328229819695185,0.3248790349294942,-21.678244193113343,-20.713516084536764
0,23,-21.533259195141436,0.14705720017977256,-21.73866296176803,-21.379362788122357
0,24,-21.707977131190358,0.14596790816189031,-21.92107904862454,-21.466069547511218
0,25,-21.785359319108768,0.08843057187999398,-21.92107904862454,-21.678244193113343
0,26,-21.785359319108768,0.08843057187999398,-21.92107904862454,-21.678244193113343
0,27,-21.835317698896386,0.0842658210431877,-21.928036092051435,-21.73582990493466
0,28,-21.836553053296285,0.08283132034467434,-21.928036092051435,-21.73866296176803
0,29,-21.870819852735274,0.06963563411274247,-21.928036092051435,-21.74200667693416
0,30,-21.870819852735274,0.06963563411274247,-21.928036092051435,-21.74200667693416
0,31,-21.870819852735274,0.06963563411274247,-21.928036092051435,-21.74200667693416
