,binding E,GCN,CN1,CN2,ratio surface,GCN mean,CN1 mean,CN2 mean
0,-1.4743500000000003,4.0,4.0,1.0,0.85,5.2125,5.8,1.6
1,-1.4743500000000003,3.4166666666666665,4.0,1.0,0.9,4.816666666666666,5.6,1.5
2,-1.6287500000000004,4.833333333333333,6.0,1.0,0.9,4.495833333333334,5.5,1.5
3,-1.6287500000000004,5.0,9.0,1.0,0.9,4.991666666666666,5.7,1.5
4,-1.4743500000000003,3.4166666666666665,4.0,1.0,0.9,5.104166666666667,5.6,1.5
5,-1.6287500000000004,5.583333333333333,6.0,1.0,0.9,4.2625,5.5,1.5
6,-1.6329500000000003,7.166666666666667,9.0,2.0,0.9,4.7875,5.5,1.4
7,-1.6329500000000003,7.25,5.0,2.0,0.9,4.4541666666666675,5.4,1.4
8,-1.4743500000000003,4.666666666666667,4.0,1.0,0.9,4.7333333333333325,5.5,1.4
9,-1.6287500000000004,4.25,9.0,1.0,0.9,4.5041666666666655,5.5,1.4
10,-1.6329500000000003,6.0,5.0,2.0,0.95,4.445833333333335,5.3,1.3
11,-1.4743500000000003,2.9166666666666665,4.0,1.0,0.95,3.695833333333333,5.2,1.3
12,-1.4743500000000003,4.583333333333333,4.0,1.0,0.95,3.9208333333333334,5.3,1.2
13,-1.8209999999999997,6.583333333333333,6.0,2.0,0.9,3.8708333333333336,5.3,1.3
14,-1.8209999999999997,5.666666666666667,5.0,2.0,0.95,3.4958333333333336,5.2,1.2
15,-1.8209999999999997,6.416666666666667,7.0,2.0,1.0,3.962500000000001,5.2,1.2
16,-1.8209999999999997,6.666666666666667,7.0,3.0,0.95,4.266666666666667,5.3,1.2
17,-1.8209999999999997,5.25,6.0,2.0,0.85,5.054166666666667,5.6,1.6
18,-1.8209999999999997,7.25,7.0,3.0,0.95,4.020833333333334,5.2,1.3
19,-1.8209999999999997,3.3333333333333335,5.0,2.0,0.95,4.1,5.2,1.2
20,-1.77835,3.5833333333333335,5.0,0.0,0.95,3.5,5.2,1.2
21,-1.4743500000000003,2.8333333333333335,4.0,1.0,0.95,4.279166666666667,5.3,1.2
22,-1.6287500000000004,4.25,6.0,1.0,0.9,4.4875,5.3,1.4
23,-1.6329500000000003,4.833333333333333,8.0,2.0,0.95,3.8041666666666663,5.2,1.2
24,-1.46875,3.1666666666666665,3.0,1.0,0.95,3.9416666666666664,5.2,1.3
25,-1.6287500000000004,5.5,6.0,1.0,0.9,4.245833333333332,5.4,1.5
26,-1.6329500000000003,6.583333333333333,9.0,2.0,0.95,3.5791666666666666,5.1,1.3
27,-1.6287500000000004,6.666666666666667,5.0,1.0,0.9,4.154166666666667,5.4,1.5
28,-1.4743500000000003,4.666666666666667,4.0,1.0,0.9,4.091666666666666,5.2,1.4
29,-1.6287500000000004,4.25,9.0,1.0,0.9,4.0458333333333325,5.2,1.4
30,-1.6329500000000003,5.833333333333333,5.0,2.0,0.9,3.795833333333333,5.2,1.4
31,-1.4743500000000003,2.9166666666666665,4.0,1.0,0.95,3.858333333333333,5.2,1.4
32,-1.4743500000000003,4.583333333333333,4.0,1.0,0.95,3.920833333333333,5.3,1.4
33,-1.6144366666666665,3.0,3.0,1.0,0.9,4.000000000000001,5.2,1.5
34,-1.8209999999999997,6.0,6.0,2.0,0.95,3.4333333333333336,5.0,1.3
35,-1.8209999999999997,5.916666666666667,7.0,2.0,0.95,3.5333333333333328,5.1,1.3
36,-1.8209999999999997,6.166666666666667,6.0,3.0,0.95,3.6208333333333327,5.0,1.4
37,-1.8209999999999997,5.166666666666667,6.0,2.0,0.95,3.375,4.9,1.3
38,-1.8209999999999997,7.083333333333333,7.0,3.0,0.95,3.170833333333333,4.8,1.2
39,-1.8209999999999997,3.3333333333333335,5.0,2.0,0.95,3.425,4.9,1.3
40,-1.4743500000000003,3.5,4.0,1.0,0.95,3.5208333333333335,4.8,1.2
41,-1.77835,2.6666666666666665,5.0,0.0,0.95,3.825,5.0,1.4
42,-1.6287500000000004,3.6666666666666665,5.0,1.0,0.95,3.6291666666666664,4.9,1.4
43,-1.6329500000000003,4.583333333333333,8.0,2.0,0.95,3.7666666666666657,4.9,1.4
44,-1.4743500000000003,3.0,4.0,1.0,0.95,3.8833333333333337,4.9,1.3
45,-1.6287500000000004,4.75,6.0,1.0,1.0,3.5541666666666663,4.7,1.3
46,-1.6287500000000004,6.416666666666667,9.0,1.0,1.0,3.3125,4.6,1.2
47,-1.6329500000000003,6.5,5.0,2.0,0.95,4.145833333333333,4.9,1.7
48,-1.4743500000000003,4.5,4.0,1.0,0.95,3.6791666666666663,4.7,1.4
49,-1.6287500000000004,4.083333333333333,9.0,1.0,0.95,3.420833333333333,4.6,1.3
50,-1.6329500000000003,5.666666666666667,5.0,2.0,1.0,2.9916666666666663,4.4,1.0
51,-1.4743500000000003,2.9166666666666665,4.0,1.0,1.0,3.145833333333333,4.4,1.1
52,-1.4743500000000003,4.583333333333333,4.0,1.0,1.0,3.1583333333333337,4.5,1.1
53,-1.6144366666666665,2.3333333333333335,3.0,1.0,1.0,3.1333333333333333,4.5,1.2
54,-1.8209999999999997,5.166666666666667,5.0,2.0,1.0,2.941666666666667,4.3,1.2
55,-1.8209999999999997,5.166666666666667,6.0,2.0,1.0,2.6875000000000004,4.3,1.2
56,-1.8209999999999997,6.25,6.0,3.0,1.0,2.745833333333333,4.4,1.2
57,-1.8209999999999997,4.5,6.0,2.0,1.0,2.8291666666666666,4.2,1.2
58,-1.8209999999999997,6.416666666666667,7.0,3.0,1.0,2.6125,4.2,1.2
59,-1.8209999999999997,3.25,5.0,2.0,,,,
60,-1.6330599999999997,3.1666666666666665,4.0,0.0,,,,
61,-1.46875,2.6666666666666665,3.0,1.0,,,,
62,-1.6287500000000004,4.083333333333333,6.0,1.0,,,,
63,-1.6287500000000004,4.333333333333333,8.0,1.0,,,,
64,-1.46875,2.6666666666666665,3.0,1.0,,,,
65,-1.6287500000000004,5.666666666666667,6.0,1.0,,,,
66,-1.6329500000000003,6.666666666666667,9.0,2.0,,,,
67,-1.6287500000000004,6.416666666666667,5.0,1.0,,,,
68,-1.6287500000000004,5.25,5.0,1.0,,,,
69,-1.6329500000000003,4.916666666666667,9.0,2.0,,,,
70,-1.6329500000000003,6.166666666666667,5.0,2.0,,,,
71,-1.6287500000000004,3.5,5.0,1.0,,,,
72,-1.4743500000000003,5.25,4.0,1.0,,,,
73,-1.8209999999999997,5.916666666666667,5.0,2.0,,,,
74,-1.8209999999999997,6.166666666666667,7.0,2.0,,,,
75,-1.8209999999999997,6.0,6.0,3.0,,,,
76,-1.8209999999999997,5.666666666666667,7.0,2.0,,,,
77,-1.8209999999999997,7.333333333333333,7.0,3.0,,,,
78,-1.6684699999999995,4.083333333333333,4.0,1.0,,,,
79,-1.8209999999999997,3.9166666666666665,6.0,2.0,,,,
80,-1.6287500000000004,4.5,5.0,1.0,,,,
81,-1.6287500000000004,3.6666666666666665,5.0,1.0,,,,
82,-1.6287500000000004,5.0,6.0,1.0,,,,
83,-1.6329500000000003,5.5,9.0,2.0,,,,
84,-1.4743500000000003,4.083333333333333,4.0,1.0,,,,
85,-1.6287500000000004,5.416666666666667,5.0,1.0,,,,
86,-1.6287500000000004,7.083333333333333,9.0,1.0,,,,
87,-1.6329500000000003,7.25,5.0,2.0,,,,
88,-1.46875,4.333333333333333,3.0,1.0,,,,
89,-1.6287500000000004,4.333333333333333,8.0,1.0,,,,
90,-1.6329500000000003,5.583333333333333,5.0,2.0,,,,
91,-1.6330599999999997,2.5833333333333335,4.0,0.0,,,,
92,-1.4743500000000003,3.6666666666666665,4.0,1.0,,,,
93,-1.6684699999999995,3.1666666666666665,4.0,1.0,,,,
94,-1.8209999999999997,6.083333333333333,7.0,2.0,,,,
95,-1.8209999999999997,6.083333333333333,6.0,2.0,,,,
96,-1.8209999999999997,6.083333333333333,6.0,2.0,,,,
97,-1.8209999999999997,7.083333333333333,7.0,3.0,,,,
98,-1.8209999999999997,6.416666666666667,6.0,3.0,,,,
99,-1.6928699999999992,4.166666666666667,4.0,2.0,,,,
100,-1.6287500000000004,3.75,5.0,1.0,,,,
101,-1.6287500000000004,3.4166666666666665,5.0,1.0,,,,
102,-1.6287500000000004,3.4166666666666665,5.0,1.0,,,,
103,-1.6287500000000004,4.666666666666667,9.0,1.0,,,,
104,-1.4743500000000003,3.8333333333333335,4.0,1.0,,,,
105,-1.6287500000000004,4.333333333333333,5.0,1.0,,,,
106,-1.6329500000000003,6.5,8.0,2.0,,,,
107,-1.6329500000000003,6.5,5.0,2.0,,,,
108,-1.4743500000000003,3.75,4.0,1.0,,,,
109,-1.77835,3.3333333333333335,9.0,0.0,,,,
110,-1.6329500000000003,5.0,5.0,2.0,,,,
111,-1.4743500000000003,2.75,4.0,1.0,,,,
112,-1.4743500000000003,4.25,4.0,1.0,,,,
113,-1.6684699999999995,2.5,4.0,1.0,,,,
114,-1.8209999999999997,4.916666666666667,6.0,2.0,,,,
115,-1.8209999999999997,5.25,6.0,2.0,,,,
116,-1.8209999999999997,5.916666666666667,6.0,3.0,,,,
117,-1.8209999999999997,3.3333333333333335,5.0,2.0,,,,
118,-1.8209999999999997,5.25,6.0,3.0,,,,
119,-1.8209999999999997,2.5833333333333335,5.0,2.0,,,,
120,-1.6330599999999997,3.1666666666666665,4.0,0.0,,,,
121,-1.46875,2.6666666666666665,3.0,1.0,,,,
122,-1.6287500000000004,4.0,6.0,1.0,,,,
123,-1.6287500000000004,4.333333333333333,8.0,1.0,,,,
124,-1.46875,2.6666666666666665,3.0,1.0,,,,
125,-1.6287500000000004,5.333333333333333,6.0,1.0,,,,
126,-1.6329500000000003,6.333333333333333,9.0,2.0,,,,
127,-1.6287500000000004,6.666666666666667,5.0,1.0,,,,
128,-1.4743500000000003,4.75,4.0,1.0,,,,
129,-1.6287500000000004,4.333333333333333,9.0,1.0,,,,
130,-1.6329500000000003,6.25,6.0,2.0,,,,
131,-1.4743500000000003,3.0,4.0,1.0,,,,
132,-1.6287500000000004,4.75,5.0,1.0,,,,
133,-1.856593333333333,4.166666666666667,2.0,0.0,,,,
134,-1.8209999999999997,5.833333333333333,5.0,2.0,,,,
135,-1.8209999999999997,5.75,7.0,2.0,,,,
136,-1.8209999999999997,6.0,6.0,3.0,,,,
137,-1.8209999999999997,5.083333333333333,6.0,2.0,,,,
138,-1.8209999999999997,7.25,7.0,3.0,,,,
139,-1.8209999999999997,3.4166666666666665,5.0,2.0,,,,
140,-1.46875,3.1666666666666665,3.0,1.0,,,,
141,-1.6330599999999997,2.5833333333333335,4.0,0.0,,,,
142,-1.6287500000000004,3.5,5.0,1.0,,,,
143,-1.6287500000000004,4.333333333333333,8.0,1.0,,,,
144,-1.6287500000000004,3.0,5.0,1.0,,,,
145,-1.6287500000000004,4.666666666666667,6.0,1.0,,,,
146,-1.6287500000000004,6.25,9.0,1.0,,,,
147,-1.6329500000000003,6.333333333333333,6.0,2.0,,,,
148,-1.856593333333333,3.0,2.0,0.0,,,,
149,-1.4743500000000003,4.5,4.0,1.0,,,,
150,-1.6287500000000004,4.083333333333333,9.0,1.0,,,,
151,-1.6329500000000003,5.833333333333333,5.0,2.0,,,,
152,-1.4743500000000003,2.9166666666666665,4.0,1.0,,,,
153,-1.4743500000000003,4.666666666666667,4.0,1.0,,,,
154,-1.6928699999999992,4.916666666666667,4.0,2.0,,,,
155,-1.8209999999999997,5.083333333333333,6.0,2.0,,,,
156,-1.8209999999999997,6.0,6.0,3.0,,,,
157,-1.8209999999999997,4.5,6.0,2.0,,,,
158,-1.8209999999999997,6.5,7.0,3.0,,,,
159,-1.8209999999999997,3.25,5.0,2.0,,,,
160,-1.6330599999999997,3.25,4.0,0.0,,,,
161,-1.46875,2.75,3.0,1.0,,,,
162,-1.6287500000000004,4.083333333333333,6.0,1.0,,,,
163,-1.6287500000000004,4.583333333333333,8.0,1.0,,,,
