,binding E,GCN,CN1,CN2,ratio surface,GCN mean,CN1 mean,CN2 mean
0,-1.5968666666666669,3.75,3.0,0.0,0.9333333333333333,4.811111111111112,5.6,1.2
1,-1.6239500000000004,5.333333333333333,5.0,1.0,0.9333333333333333,4.683333333333334,5.466666666666667,1.3333333333333333
2,-1.6239500000000004,4.166666666666667,5.0,1.0,0.9333333333333333,4.761111111111111,5.466666666666667,1.3333333333333333
3,-1.6239500000000004,5.333333333333333,6.0,1.0,0.9333333333333333,4.65,5.466666666666667,1.3333333333333333
4,-1.6281500000000007,5.75,9.0,3.0,0.9333333333333333,4.905555555555555,5.466666666666667,1.4666666666666666
5,-1.6239500000000004,5.833333333333333,6.0,1.0,0.9333333333333333,4.422222222222222,5.2,1.4666666666666666
6,-1.6239500000000004,5.0,6.0,1.0,0.9333333333333333,3.6222222222222227,4.533333333333333,1.3333333333333333
7,-1.6239500000000004,5.916666666666667,6.0,1.0,0.9333333333333333,3.4944444444444445,4.533333333333333,1.2
8,-1.5968666666666669,4.25,3.0,0.0,1.0,3.683333333333334,4.8,1.3333333333333333
9,-1.6700699999999993,4.75,4.0,1.0,1.0,3.533333333333333,4.533333333333333,1.2
10,-1.8279999999999998,5.75,7.0,2.0,1.0,3.133333333333333,4.533333333333333,0.9333333333333333
11,-1.8279999999999998,4.916666666666667,7.0,2.0,1.0,3.55,4.666666666666667,1.3333333333333333
12,-1.8067999999999995,3.0833333333333335,5.0,1.0,1.0,3.261111111111111,4.4,1.2
13,-1.8279999999999998,5.666666666666667,7.0,2.0,,,,
14,-1.8067999999999995,2.6666666666666665,5.0,1.0,,,,
15,-1.5968666666666669,4.083333333333333,3.0,0.0,,,,
16,-1.6576166666666667,3.5,2.0,1.0,,,,
17,-1.6239500000000004,4.25,6.0,1.0,,,,
18,-1.6239500000000004,4.416666666666667,5.0,1.0,,,,
19,-1.6239500000000004,5.5,7.0,1.0,,,,
20,-1.6281500000000007,5.666666666666667,9.0,3.0,,,,
21,-1.6239500000000004,5.583333333333333,5.0,1.0,,,,
22,-1.6239500000000004,5.25,6.0,1.0,,,,
23,-1.6239500000000004,5.583333333333333,5.0,1.0,,,,
24,-1.6700699999999993,5.0,4.0,1.0,,,,
25,-1.8279999999999998,5.5,7.0,3.0,,,,
26,-1.8279999999999998,4.916666666666667,7.0,2.0,,,,
27,-1.8067999999999995,3.0833333333333335,5.0,1.0,,,,
28,-1.8279999999999998,5.333333333333333,7.0,2.0,,,,
29,-1.6700699999999993,2.5833333333333335,4.0,1.0,,,,
30,-1.5968666666666669,3.75,3.0,0.0,,,,
31,-1.6239500000000004,5.5,5.0,1.0,,,,
32,-1.6239500000000004,4.583333333333333,6.0,1.0,,,,
33,-1.6576166666666667,3.5,2.0,1.0,,,,
34,-1.6239500000000004,5.333333333333333,6.0,1.0,,,,
35,-1.6281500000000007,5.666666666666667,9.0,3.0,,,,
36,-1.6239500000000004,5.666666666666667,6.0,1.0,,,,
37,-1.6239500000000004,5.0,6.0,1.0,,,,
38,-1.6239500000000004,5.583333333333333,5.0,1.0,,,,
39,-1.6700699999999993,5.0,4.0,1.0,,,,
40,-1.8279999999999998,5.75,7.0,2.0,,,,
41,-1.8279999999999998,5.083333333333333,7.0,3.0,,,,
42,-1.8067999999999995,3.0,5.0,1.0,,,,
43,-1.8279999999999998,5.333333333333333,7.0,2.0,,,,
44,-1.6700699999999993,2.6666666666666665,4.0,1.0,,,,
45,-1.6576166666666667,2.8333333333333335,2.0,1.0,,,,
46,-1.603433333333333,4.0,4.0,0.0,,,,
47,-1.6239500000000004,5.5,5.0,1.0,,,,
48,-1.6239500000000004,4.166666666666667,5.0,1.0,,,,
49,-1.6239500000000004,4.5,7.0,1.0,,,,
50,-1.6281500000000007,5.666666666666667,9.0,3.0,,,,
51,-1.6239500000000004,5.5,5.0,1.0,,,,
52,-1.6239500000000004,5.25,6.0,1.0,,,,
53,-1.6239500000000004,5.583333333333333,5.0,1.0,,,,
54,-1.6700699999999993,4.75,4.0,1.0,,,,
55,-1.8279999999999998,5.916666666666667,7.0,2.0,,,,
56,-1.8279999999999998,4.833333333333333,7.0,2.0,,,,
57,-1.8279999999999998,3.3333333333333335,5.0,2.0,,,,
58,-1.8279999999999998,5.333333333333333,7.0,2.0,,,,
59,-1.6700699999999993,2.5833333333333335,4.0,1.0,,,,
60,-1.4329900000000004,4.166666666666667,3.0,1.0,,,,
61,-1.6239500000000004,5.583333333333333,5.0,1.0,,,,
62,-1.6239500000000004,4.416666666666667,6.0,1.0,,,,
63,-1.6239500000000004,5.75,6.0,1.0,,,,
64,-1.6281500000000007,5.75,9.0,2.0,,,,
65,-1.4558900000000004,5.5,4.0,2.0,,,,
66,-1.6239500000000004,5.0,7.0,1.0,,,,
67,-1.4558900000000004,5.5,4.0,2.0,,,,
68,-1.8067999999999995,5.0,5.0,1.0,,,,
69,-1.6069366666666667,4.166666666666667,3.0,1.0,,,,
70,-1.8279999999999998,6.0,7.0,2.0,,,,
71,-1.8279999999999998,5.166666666666667,7.0,2.0,,,,
72,-1.8067999999999995,3.25,6.0,1.0,,,,
73,-1.8279999999999998,4.833333333333333,7.0,2.0,,,,
74,-1.6191699999999998,3.5,3.0,2.0,,,,
75,-1.4329900000000004,4.0,3.0,1.0,,,,
76,-1.44609,5.083333333333333,4.0,1.0,,,,
77,-1.6239500000000004,3.9166666666666665,6.0,1.0,,,,
78,-1.4329900000000004,2.8333333333333335,3.0,1.0,,,,
79,-1.6239500000000004,5.083333333333333,6.0,1.0,,,,
80,-1.6239500000000004,5.416666666666667,9.0,1.0,,,,
81,-1.6281500000000007,5.083333333333333,5.0,2.0,,,,
82,-1.6239500000000004,4.75,7.0,1.0,,,,
83,-1.4558900000000004,5.25,4.0,2.0,,,,
84,-1.6069366666666667,3.3333333333333335,3.0,1.0,,,,
85,-1.8279999999999998,5.5,6.0,2.0,,,,
86,-1.8279999999999998,4.666666666666667,6.0,3.0,,,,
87,-1.8067999999999995,3.25,6.0,1.0,,,,
88,-1.8279999999999998,4.666666666666667,7.0,2.0,,,,
89,-1.6191699999999998,3.5,3.0,2.0,,,,
90,-1.603433333333333,2.5833333333333335,4.0,0.0,,,,
91,-1.603433333333333,3.3333333333333335,4.0,0.0,,,,
92,-1.44669,3.75,3.0,2.0,,,,
93,-1.7702833333333337,4.25,6.0,0.0,,,,
94,-1.4558900000000004,3.8333333333333335,4.0,2.0,,,,
95,-1.6239500000000004,3.0833333333333335,8.0,1.0,,,,
96,-1.7702833333333337,4.416666666666667,9.0,0.0,,,,
97,-1.6239500000000004,3.9166666666666665,5.0,1.0,,,,
98,-1.4558900000000004,3.6666666666666665,4.0,3.0,,,,
99,-1.44609,4.333333333333333,4.0,1.0,,,,
100,-1.6191699999999998,4.833333333333333,3.0,3.0,,,,
101,-1.6964699999999993,4.25,4.0,2.0,,,,
102,-1.6191699999999998,2.6666666666666665,3.0,2.0,,,,
103,-1.8279999999999998,3.5833333333333335,5.0,2.0,,,,
104,-1.6967366666666666,1.8333333333333333,2.0,1.0,,,,
105,-1.5968666666666669,2.1666666666666665,3.0,0.0,,,,
106,-1.603433333333333,2.8333333333333335,4.0,0.0,,,,
107,-1.7702833333333337,4.75,5.0,0.0,,,,
108,-1.4558900000000004,3.5833333333333335,4.0,2.0,,,,
109,-1.6239500000000004,3.0,7.0,1.0,,,,
110,-1.7702833333333337,4.666666666666667,9.0,0.0,,,,
111,-1.6281500000000007,4.166666666666667,5.0,2.0,,,,
112,-1.4558900000000004,3.3333333333333335,4.0,3.0,,,,
113,-1.6239500000000004,4.5,5.0,1.0,,,,
114,-1.6191699999999998,4.5,3.0,2.0,,,,
115,-1.6964699999999993,4.25,4.0,2.0,,,,
116,-1.6069366666666667,2.1666666666666665,3.0,1.0,,,,
117,-1.8279999999999998,3.75,6.0,2.0,,,,
118,-1.6069366666666667,2.0,3.0,1.0,,,,
119,-1.6069366666666667,2.75,3.0,1.0,,,,
120,-1.4329900000000004,3.0833333333333335,3.0,1.0,,,,
121,-1.44609,4.666666666666667,4.0,1.0,,,,
122,-1.44669,3.3333333333333335,3.0,2.0,,,,
123,-1.7702833333333337,3.9166666666666665,7.0,0.0,,,,
124,-1.6239500000000004,5.0,8.0,1.0,,,,
125,-1.6239500000000004,4.25,6.0,1.0,,,,
126,-1.6281500000000007,4.083333333333333,5.0,2.0,,,,
127,-1.6239500000000004,4.916666666666667,6.0,1.0,,,,
128,-1.44609,3.0833333333333335,4.0,1.0,,,,
129,-1.6191699999999998,3.0833333333333335,3.0,2.0,,,,
130,-1.8279999999999998,4.083333333333333,5.0,2.0,,,,
131,-1.8067999999999995,1.9166666666666667,5.0,1.0,,,,
132,-1.8279999999999998,4.333333333333333,5.0,3.0,,,,
133,-1.6700699999999993,2.6666666666666665,4.0,1.0,,,,
134,-1.6700699999999993,2.8333333333333335,4.0,1.0,,,,
135,-1.4329900000000004,3.0833333333333335,3.0,1.0,,,,
136,-1.44609,4.5,4.0,1.0,,,,
137,-1.44669,3.25,3.0,2.0,,,,
138,-1.7702833333333337,3.8333333333333335,7.0,0.0,,,,
139,-1.6239500000000004,4.833333333333333,8.0,1.0,,,,
140,-1.6239500000000004,4.166666666666667,5.0,1.0,,,,
141,-1.6281500000000007,4.0,5.0,2.0,,,,
142,-1.7702833333333337,4.583333333333333,6.0,0.0,,,,
143,-1.44609,3.0833333333333335,4.0,1.0,,,,
144,-1.6191699999999998,3.0833333333333335,3.0,2.0,,,,
145,-1.8279999999999998,4.0,5.0,2.0,,,,
146,-1.8067999999999995,1.9166666666666667,5.0,1.0,,,,
147,-1.6964699999999993,4.416666666666667,4.0,3.0,,,,
148,-1.6700699999999993,2.6666666666666665,4.0,1.0,,,,
149,-1.6698699999999997,1.5833333333333333,2.0,0.0,,,,
150,-1.4329900000000004,3.0,3.0,1.0,,,,
151,-1.44609,4.0,4.0,1.0,,,,
152,-1.4329900000000004,3.0833333333333335,3.0,1.0,,,,
153,-1.7702833333333337,3.3333333333333335,7.0,0.0,,,,
154,-1.6239500000000004,4.083333333333333,7.0,1.0,,,,
155,-1.6239500000000004,3.75,5.0,1.0,,,,
156,-1.6239500000000004,3.5,5.0,1.0,,,,
157,-1.6239500000000004,4.583333333333333,5.0,1.0,,,,
158,-1.7702833333333337,3.0,5.0,0.0,,,,
159,-1.6191699999999998,3.0,3.0,2.0,,,,
160,-1.8279999999999998,3.5,5.0,2.0,,,,
161,-1.8067999999999995,1.8333333333333333,5.0,1.0,,,,
162,-1.6700699999999993,2.25,4.0,1.0,,,,
163,-1.6700699999999993,2.1666666666666665,4.0,1.0,,,,
164,-1.5763199999999997,1.9166666666666667,3.0,0.0,,,,
165,-1.44609,3.5,4.0,1.0,,,,
166,-1.6069366666666667,1.8333333333333333,3.0,1.0,,,,
167,-1.44609,4.75,4.0,1.0,,,,
168,-1.44669,3.25,3.0,2.0,,,,
169,-1.6239500000000004,4.333333333333333,7.0,1.0,,,,
170,-1.6239500000000004,4.666666666666667,8.0,1.0,,,,
171,-1.6239500000000004,3.75,5.0,1.0,,,,
172,-1.6281500000000007,4.5,5.0,2.0,,,,
173,-1.6239500000000004,4.583333333333333,5.0,1.0,,,,
174,-1.6964699999999993,3.5,4.0,2.0,,,,
175,-1.8279999999999998,4.5,5.0,2.0,,,,
176,-1.8067999999999995,2.25,6.0,1.0,,,,
177,-1.8279999999999998,3.75,5.0,2.0,,,,
178,-1.6069366666666667,1.75,3.0,1.0,,,,
179,-1.6069366666666667,2.3333333333333335,3.0,1.0,,,,
180,-1.6576166666666667,2.3333333333333335,2.0,1.0,,,,
181,-1.44609,4.25,4.0,1.0,,,,
182,-1.4558900000000004,3.5833333333333335,4.0,2.0,,,,
183,-1.7702833333333337,3.25,6.0,0.0,,,,
184,-1.6239500000000004,4.25,8.0,1.0,,,,
185,-1.6239500000000004,4.083333333333333,6.0,1.0,,,,
186,-1.4558900000000004,3.4166666666666665,4.0,2.0,,,,
187,-1.6239500000000004,4.166666666666667,5.0,1.0,,,,
188,-1.7019699999999998,2.3333333333333335,2.0,2.0,,,,
189,-1.6964699999999993,3.4166666666666665,4.0,2.0,,,,
190,-1.6700699999999993,2.75,4.0,1.0,,,,
191,-1.8279999999999998,3.75,6.0,2.0,,,,
192,-1.8067999999999995,2.4166666666666665,5.0,1.0,,,,
193,-1.6700699999999993,3.1666666666666665,4.0,1.0,,,,
194,-1.6698699999999997,1.75,2.0,0.0,,,,
